source,target
@rbw_purplekiss,@kpopggsuperior
@cubeclc,@kpopggsuperior
@_weeekly,@kpopggsuperior
@cosmokorea,@pledis_17
@hsw_officialtwt,@kcon_official
@p1h_official,@kcon_official
@official_jo1,@kcon_official
@_iuofficial,@kpopggsuperior
@johnnyorlando,@spotifykr
@dvbbs,@spotifykr
@etnow,@pledis_17
@paulmccartney,@zanelowe
@beck,@zanelowe
@karolgs,@zanelowe
@_iuofficials,@kpopggsuperior
@_iuofficial,@kchartsmaster
@stophermusic,@spotifykr
@stray_kids,@spotifykr
@alesso,@spotifykr
@corsakmusic,@spotifykr
@official_ace7,@kcon_official
@ljh__official,@kcon_official
@stray_kids,@kcon_official
@moneybaggyo,@zanelowe
@1future,@zanelowe
@lilnasx,@zanelowe
@ddlovato,@zanelowe
@kevankenney,@itzyofficial
@itzyofficial,@kpopggsuperior
@ateezofficial,@kcon_official
@enhypen,@kcon_official
@itzyofficial,@kcon_official
@official_sunmi_,@kcon_official
@officialbtob,@kcon_official
@konnect_danielk,@kcon_official
@rbw_mamamoo,@kcon_official
@too_offcl,@kcon_official
@girlsgeneration,@kpopggsuperior
@kellyclarksontv,@ygofficialblink
@jypetwice,@kpopggsuperior
@officialbeg,@kpopggsuperior
@0828_kimsejeongs,@kpopggsuperior
@apieu_cosmetics,@misayeon
@duttypaul,@zanelowe
@8_ohmygirl,@kpopggsuperior
@maybelline,@itzyofficial
@haroobomkum,@kpopggsuperior
@rbw_mamamoos,@kpopggsuperior
@brits,@bts_army
@theellenshow,@pledis_17
@olivia_rodrigo,@zanelowe
@yginnercircle,@yginnercircle
@spotifyjp,@bts_jp_official
@beabad00bee,@spotifykr
@chungha_mnhent,@kpopggsuperior
@teenvogue,@pledis_17
@spotifys,@pledis_17
@spotifykdaebak,@pledis_17
@amazonmusicjp,@bts_jp_official
@bravegirls_s,@kpopggsuperior
@girls_day,@kpopggsuperior
@applemusic,@rvsmtown
@rvsmtown,@twicetly
@g_i_dle,@kpopggsuperior
@tribedaloca,@kpopggsuperior
@gibbbarry,@zanelowe
@pandoramusic,@pledis_17
@ubt_yukikas,@kpopggsuperior
@lunarsolar_s,@kpopggsuperior
@stayc_official,@kpopggsuperior
@musicbank,@5redvelvet
@livenowglobal,@rbw_mamamoo
@dojacat,@zanelowe
@sza,@zanelowe
@official_yoon_,@kchartsmaster
@wjsn_cosmic,@kpopggsuperior
@officiallaboums,@kpopggsuperior
@bravegirls,@bravegirls_
@bravegirls_,@bravegirls_
@somi_official_,@kpopggsuperior
@bravegirls,@kpopggsuperior
@applemusic,@pledis_17
@brookereese,@pledis_17
@msuppasit,@spotifykr
